pair,q_assumed,p,W_observed,pi_implied,pi_observed,match
Mar 01 (1-day),0.7,0.97,0.89,-0.3108,0.015,
Mar 01 (1-day),0.8,0.97,0.89,-0.1469,0.015,
Mar 01 (1-day),0.9,0.97,0.89,-0.0195,0.015,Y
Mar 01 (1-day),0.93,0.97,0.89,0.0134,0.015,Y
Mar 01 (1-day),0.95,0.97,0.89,0.0342,0.015,Y
Apr 01 (31-day),0.7,0.98,0.57,0.1691,,
Apr 01 (31-day),0.8,0.98,0.57,0.273,,
Apr 01 (31-day),0.9,0.98,0.57,0.3537,,
Apr 01 (31-day),0.93,0.98,0.57,0.3746,,
Apr 01 (31-day),0.95,0.98,0.57,0.3878,,
Sep 01 (184-day),0.7,0.99,0.4,0.4228,,
Sep 01 (184-day),0.8,0.99,0.4,0.4949,,
Sep 01 (184-day),0.9,0.99,0.4,0.5511,,
Sep 01 (184-day),0.93,0.99,0.4,0.5655,,
Sep 01 (184-day),0.95,0.99,0.4,0.5747,,
