regime,count,mean,median,p95,ticker
news_arrival,402,0.0108,0.01,0.02,KXKHAMENEIOUT-AKHA-26MAR01
path_resolve,355,0.0125,0.01,0.02,KXKHAMENEIOUT-AKHA-26MAR01
plateau,70,0.0119,0.01,0.02,KXKHAMENEIOUT-AKHA-26MAR01
pre_news,612,0.0101,0.01,0.01,KXKHAMENEIOUT-AKHA-26MAR01
news_arrival,403,0.0157,0.01,0.04,KXKHAMENEIOUT-AKHA-26APR01
path_resolve,357,0.0162,0.01,0.03,KXKHAMENEIOUT-AKHA-26APR01
plateau,63,0.0124,0.01,0.02,KXKHAMENEIOUT-AKHA-26APR01
pre_news,696,0.0104,0.01,0.01,KXKHAMENEIOUT-AKHA-26APR01
news_arrival,359,0.013,0.01,0.03,KXKHAMENEIOUT-AKHA-26JUL01
path_resolve,354,0.019,0.01,0.05,KXKHAMENEIOUT-AKHA-26JUL01
plateau,64,0.0134,0.01,0.0285,KXKHAMENEIOUT-AKHA-26JUL01
pre_news,610,0.0101,0.01,0.01,KXKHAMENEIOUT-AKHA-26JUL01
news_arrival,356,0.0169,0.01,0.04,KXKHAMENEIOUT-AKHA-26SEP01
path_resolve,350,0.0255,0.01,0.05,KXKHAMENEIOUT-AKHA-26SEP01
plateau,64,0.0209,0.02,0.05,KXKHAMENEIOUT-AKHA-26SEP01
pre_news,532,0.0109,0.01,0.02,KXKHAMENEIOUT-AKHA-26SEP01
